Date,"3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","30 Yr"
12/31/1992,3.15,3.38,3.61,4.56,5.12,6.04,6.43,6.70,7.40
12/30/1992,3.19,3.39,3.57,4.54,5.07,5.98,6.39,6.68,7.39
12/29/1992,3.27,3.45,3.64,4.61,5.15,6.04,6.42,6.69,7.37
12/28/1992,3.30,3.48,3.64,4.64,5.17,6.06,6.43,6.72,7.40
12/24/1992,3.23,3.41,3.63,4.60,5.13,6.02,6.40,6.69,7.36
12/23/1992,3.25,3.41,3.63,4.63,5.14,6.01,6.39,6.68,7.36
12/22/1992,3.27,3.41,3.63,4.64,5.12,6.02,6.36,6.65,7.34
12/21/1992,3.25,3.43,3.68,4.64,5.18,6.05,6.41,6.71,7.38
12/18/1992,3.23,3.43,3.69,4.66,5.20,6.07,6.44,6.76,7.43
12/17/1992,3.27,3.48,3.73,4.69,5.21,6.08,6.45,6.77,7.43
12/16/1992,3.28,3.46,3.73,4.67,5.21,6.06,6.44,6.77,7.44
12/15/1992,3.29,3.50,3.78,4.77,5.29,6.12,6.50,6.83,7.45
12/14/1992,3.33,3.54,3.85,4.80,5.34,6.15,6.52,6.83,7.45
12/11/1992,3.32,3.51,3.82,4.78,5.29,6.10,6.48,6.80,7.44
12/10/1992,3.29,3.47,3.72,4.67,5.19,6.04,6.42,6.77,7.42
12/09/1992,3.30,3.44,3.69,4.61,5.16,6.01,6.41,6.76,7.44
12/08/1992,3.33,3.44,3.66,4.59,5.13,5.99,6.39,6.73,7.44
12/07/1992,3.35,3.47,3.69,4.62,5.19,6.05,6.45,6.78,7.45
12/04/1992,3.32,3.48,3.73,4.70,5.27,6.11,6.51,6.84,7.50
12/03/1992,3.37,3.56,3.83,4.78,5.36,6.20,6.59,6.91,7.57
12/02/1992,3.42,3.58,3.84,4.81,5.39,6.23,6.61,6.93,7.57
